,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
945,CA,Fairhaven Power,40.7995,-124.2028,0,0,2053.715,0,0,37565.285,0,0,0,0
946,CA,Fall Creek,41.985605,-122.360455,0,0,0,0,3931,0,0,0,0,0
947,CA,Fallbrook Energy Storage,33.384244,-117.235322,,,,,,,,,,
948,CA,Farad,39.394267,-120.021732,,,,,,,,,,
949,CA,Farmersville,36.19,-119.12,0,0,0,0,0,0,0,7976,0,0
950,CA,Feather River Energy Center,39.109344,-121.60931,0,0,33113,0,0,0,0,0,0,0
951,CA,Five Points Solar Park,36.386944,-120.236667,0,0,0,0,0,0,0,162129,0,0
952,CA,Five Points Solar Station,36.400278,-120.103333,0,0,0,0,0,0,0,28699,0,0
953,CA,FLEX Gibraltar,37.417288,-121.894109,0,0,0,0,0,0,0,0,0,0
954,CA,Folsom,38.70675,-121.158443,0,0,0,0,583368,0,0,0,0,0
955,CA,Folsom SP and CSP Sacramento,38.687,-121.16,,,,,,,,,,
956,CA,Fontana,34.155162,-117.397119,0,0,0,0,2545,0,0,0,0,0
957,CA,Foothill,34.318248,-118.494449,0,0,0,0,-8344,0,0,0,0,0
958,CA,Foothill Feeder,34.5148,-118.6092,0,0,0,0,48539,0,0,0,0,0
959,CA,Foothill Solar Project,34.2738,-118.3454,,,,,,,,,,
960,CA,Forbestown,39.551012,-121.278784,0,0,0,0,84275,0,0,0,0,0
961,CA,"Forever 21 Retail, Inc.",34.071389,-118.196111,0,0,0,0,0,0,0,1560,0,0
962,CA,Forks of Butte Hydro Project,39.869284,-121.631865,0,0,0,0,29769,0,0,0,0,0
963,CA,Foster Wheeler Martinez,38.0244,-122.0589,0,0,673306,0,0,0,0,0,0,0
964,CA,Foundation AB,38.232222,-122.092778,0,0,0,0,0,0,2581,0,0,0
965,CA,Foundation California Training Facility,36.464,-121.382,0,0,0,0,0,0,1146,0,0,0
966,CA,Foundation CDCR LAC,34.691,-118.221,0,0,0,0,0,0,4268,0,0,0
967,CA,Foundation Cemex BMQ,34.623056,-117.1125,0,0,0,0,0,0,3293,0,0,0
968,CA,Foundation Cemex Madison,38.692778,-121.9325,0,0,0,0,0,0,1701,0,0,0
969,CA,Foundation Cemex River Plant,34.561944,-117.307222,0,0,0,0,0,0,2939,0,0,0
970,CA,Foundation Dole Fresh Vegetables,36.459294,-121.350083,,,,,,,,,,
971,CA,Foundation IE,34.084722,-117.529444,0,0,0,0,0,0,395,0,0,0
972,CA,Foundation Mann Packing,36.504,-121.454,,,,,,,,,,
973,CA,Foundation NWNA,33.914167,-116.749167,0,0,0,0,0,0,12046,0,0,0
